id,code,province,district,township
l10n_pa_edi_location_3_1_9,3-1-9,COLON,COLON,NUEVA PROVIDENCIA
l10n_pa_edi_location_3_1_10,3-1-10,COLON,COLON,PUERTO PILON
l10n_pa_edi_location_3_1_11,3-1-11,COLON,COLON,SABANITAS
l10n_pa_edi_location_3_1_12,3-1-12,COLON,COLON,SALAMANCA
l10n_pa_edi_location_3_1_13,3-1-13,COLON,COLON,SAN JUAN
l10n_pa_edi_location_3_1_14,3-1-14,COLON,COLON,SANTA ROSA
l10n_pa_edi_location_3_2_1,3-2-1,COLON,CHAGRES,NUEVO CHAGRES (CABECERA)
l10n_pa_edi_location_3_2_2,3-2-2,COLON,CHAGRES,ACHIOTE
l10n_pa_edi_location_3_2_3,3-2-3,COLON,CHAGRES,EL GUABO
l10n_pa_edi_location_3_2_4,3-2-4,COLON,CHAGRES,LA ENCANTADA
l10n_pa_edi_location_3_2_5,3-2-5,COLON,CHAGRES,PALMAS BELLAS
l10n_pa_edi_location_3_2_6,3-2-6,COLON,CHAGRES,PIÑA
l10n_pa_edi_location_3_2_7,3-2-7,COLON,CHAGRES,SALUD
l10n_pa_edi_location_3_3_1,3-3-1,COLON,DONOSO,MIGUEL DE LA BORDA (CABECERA)
l10n_pa_edi_location_3_3_2,3-3-2,COLON,DONOSO,COCLE DEL NORTE
l10n_pa_edi_location_3_3_3,3-3-3,COLON,DONOSO,EL GUASIMO
l10n_pa_edi_location_3_3_4,3-3-4,COLON,DONOSO,GOBEA
l10n_pa_edi_location_3_3_5,3-3-5,COLON,DONOSO,RIO INDIO
l10n_pa_edi_location_3_3_6,3-3-6,COLON,DONOSO,SAN JOSE DEL GENERAL
l10n_pa_edi_location_3_4_1,3-4-1,COLON,PORTOBELO,PORTOBELO (CABECERA)
l10n_pa_edi_location_3_4_2,3-4-2,COLON,PORTOBELO,CACIQUE
l10n_pa_edi_location_3_4_3,3-4-3,COLON,PORTOBELO,GARROTE
l10n_pa_edi_location_3_4_4,3-4-4,COLON,PORTOBELO,ISLA GRANDE
l10n_pa_edi_location_3_4_5,3-4-5,COLON,PORTOBELO,MARIA CHIQUITA
l10n_pa_edi_location_3_5_1,3-5-1,COLON,SANTA ISABEL,PALENQUE (CABECERA)
l10n_pa_edi_location_3_5_2,3-5-2,COLON,SANTA ISABEL,CUANGO
l10n_pa_edi_location_3_5_3,3-5-3,COLON,SANTA ISABEL,MIRAMAR
l10n_pa_edi_location_3_5_4,3-5-4,COLON,SANTA ISABEL,NOMBRE DE DIOS
l10n_pa_edi_location_3_5_5,3-5-5,COLON,SANTA ISABEL,PALMIRA
l10n_pa_edi_location_3_5_6,3-5-6,COLON,SANTA ISABEL,PLAYA CHIQUITA
l10n_pa_edi_location_3_5_7,3-5-7,COLON,SANTA ISABEL,SANTA ISABEL
l10n_pa_edi_location_3_5_8,3-5-8,COLON,SANTA ISABEL,VIENTO FRIO
l10n_pa_edi_location_4_1_1,4-1-1,CHIRIQUI,ALANJE,ALANJE (CABECERA)
l10n_pa_edi_location_4_1_2,4-1-2,CHIRIQUI,ALANJE,DIVALA
