id,code,province,district,township
l10n_pa_edi_location_7_2_15,7-2-15,LOS SANTOS,LAS TABLAS,NUARIO
l10n_pa_edi_location_7_2_16,7-2-16,LOS SANTOS,LAS TABLAS,PALMIRA
l10n_pa_edi_location_7_2_17,7-2-17,LOS SANTOS,LAS TABLAS,PEÑA BLANCA
l10n_pa_edi_location_7_2_18,7-2-18,LOS SANTOS,LAS TABLAS,RIO HONDO
l10n_pa_edi_location_7_2_19,7-2-19,LOS SANTOS,LAS TABLAS,SAN JOSE
l10n_pa_edi_location_7_2_20,7-2-20,LOS SANTOS,LAS TABLAS,SAN MIGUEL
l10n_pa_edi_location_7_2_21,7-2-21,LOS SANTOS,LAS TABLAS,SANTO DOMINGO
l10n_pa_edi_location_7_2_22,7-2-22,LOS SANTOS,LAS TABLAS,SESTEADERO
l10n_pa_edi_location_7_2_23,7-2-23,LOS SANTOS,LAS TABLAS,VALLE RICO
l10n_pa_edi_location_7_2_24,7-2-24,LOS SANTOS,LAS TABLAS,VALLERIQUITO
l10n_pa_edi_location_7_3_1,7-3-1,LOS SANTOS,LOS SANTOS,LA VILLA DE LOS SANTOS (CABECE
l10n_pa_edi_location_7_3_2,7-3-2,LOS SANTOS,LOS SANTOS,EL GUASIMO
l10n_pa_edi_location_7_3_3,7-3-3,LOS SANTOS,LOS SANTOS,LA COLORADA
l10n_pa_edi_location_7_3_4,7-3-4,LOS SANTOS,LOS SANTOS,LA ESPIGADILLA
l10n_pa_edi_location_7_3_5,7-3-5,LOS SANTOS,LOS SANTOS,LAS CRUCES
l10n_pa_edi_location_7_3_6,7-3-6,LOS SANTOS,LOS SANTOS,LAS GUABAS
l10n_pa_edi_location_7_3_7,7-3-7,LOS SANTOS,LOS SANTOS,LOS ANGELES
l10n_pa_edi_location_7_3_8,7-3-8,LOS SANTOS,LOS SANTOS,LOS OLIVOS
l10n_pa_edi_location_7_3_9,7-3-9,LOS SANTOS,LOS SANTOS,LLANO LARGO
l10n_pa_edi_location_7_3_10,7-3-10,LOS SANTOS,LOS SANTOS,SABANAGRANDE
l10n_pa_edi_location_7_3_11,7-3-11,LOS SANTOS,LOS SANTOS,SANTA ANA
l10n_pa_edi_location_7_3_12,7-3-12,LOS SANTOS,LOS SANTOS,TRES QUEBRADAS
l10n_pa_edi_location_7_3_13,7-3-13,LOS SANTOS,LOS SANTOS,AGUA BUENA
l10n_pa_edi_location_7_3_14,7-3-14,LOS SANTOS,LOS SANTOS,VILLA LOURDES
l10n_pa_edi_location_7_4_1,7-4-1,LOS SANTOS,MACARACAS,MACARACAS (CABECERA)
l10n_pa_edi_location_7_4_2,7-4-2,LOS SANTOS,MACARACAS,BAHIA HONDA
l10n_pa_edi_location_7_4_3,7-4-3,LOS SANTOS,MACARACAS,BAJOS DE GUERA
l10n_pa_edi_location_7_4_4,7-4-4,LOS SANTOS,MACARACAS,COROZAL
l10n_pa_edi_location_7_4_5,7-4-5,LOS SANTOS,MACARACAS,CHUPA
l10n_pa_edi_location_7_4_6,7-4-6,LOS SANTOS,MACARACAS,EL CEDRO
l10n_pa_edi_location_7_4_7,7-4-7,LOS SANTOS,MACARACAS,ESPINO AMARILLO
l10n_pa_edi_location_7_4_8,7-4-8,LOS SANTOS,MACARACAS,LA MESA
l10n_pa_edi_location_7_4_9,7-4-9,LOS SANTOS,MACARACAS,LAS PALMAS
l10n_pa_edi_location_7_4_10,7-4-10,LOS SANTOS,MACARACAS,LLANO DE PIEDRA
l10n_pa_edi_location_7_4_11,7-4-11,LOS SANTOS,MACARACAS,MOGOLLON
l10n_pa_edi_location_7_5_1,7-5-1,LOS SANTOS,PEDASI,PEDASI (CABECERA)
l10n_pa_edi_location_7_5_2,7-5-2,LOS SANTOS,PEDASI,LOS ASIENTOS
l10n_pa_edi_location_7_5_3,7-5-3,LOS SANTOS,PEDASI,MARIABE
l10n_pa_edi_location_7_5_4,7-5-4,LOS SANTOS,PEDASI,PURIO
l10n_pa_edi_location_7_5_5,7-5-5,LOS SANTOS,PEDASI,ORIA ARRIBA
l10n_pa_edi_location_7_6_1,7-6-1,LOS SANTOS,POCRI,POCRI
l10n_pa_edi_location_7_6_2,7-6-2,LOS SANTOS,POCRI,EL CAÑAFISTULO
l10n_pa_edi_location_7_6_3,7-6-3,LOS SANTOS,POCRI,LAJAMINA
l10n_pa_edi_location_7_6_4,7-6-4,LOS SANTOS,POCRI,PARAISO
l10n_pa_edi_location_7_6_5,7-6-5,LOS SANTOS,POCRI,PARITILLA
l10n_pa_edi_location_7_7_1,7-7-1,LOS SANTOS,TONOSI,TONOSI (CABECERA)
l10n_pa_edi_location_7_7_2,7-7-2,LOS SANTOS,TONOSI,ALTOS DE GUERA
l10n_pa_edi_location_7_7_3,7-7-3,LOS SANTOS,TONOSI,CAÑAS
l10n_pa_edi_location_7_7_4,7-7-4,LOS SANTOS,TONOSI,EL BEBEDERO
l10n_pa_edi_location_7_7_5,7-7-5,LOS SANTOS,TONOSI,EL CACAO
l10n_pa_edi_location_7_7_6,7-7-6,LOS SANTOS,TONOSI,EL CORTEZO
l10n_pa_edi_location_7_7_7,7-7-7,LOS SANTOS,TONOSI,FLORES
l10n_pa_edi_location_7_7_8,7-7-8,LOS SANTOS,TONOSI,GUANICO
l10n_pa_edi_location_7_7_9,7-7-9,LOS SANTOS,TONOSI,LA TRONOSA
l10n_pa_edi_location_7_7_10,7-7-10,LOS SANTOS,TONOSI,CAMBUTAL
l10n_pa_edi_location_7_7_11,7-7-11,LOS SANTOS,TONOSI,ISLA DE CAQAS
l10n_pa_edi_location_8_2_1,8-2-1,PANAMA,BALBOA,SAN MIGUEL (CABECERA)
l10n_pa_edi_location_8_2_2,8-2-2,PANAMA,BALBOA,LA ENSENADA
l10n_pa_edi_location_8_2_3,8-2-3,PANAMA,BALBOA,LA ESMERALDA
l10n_pa_edi_location_8_2_4,8-2-4,PANAMA,BALBOA,LA GUINEA
l10n_pa_edi_location_8_2_5,8-2-5,PANAMA,BALBOA,PEDRO GONZALEZ
l10n_pa_edi_location_8_2_6,8-2-6,PANAMA,BALBOA,SABOGA
l10n_pa_edi_location_8_5_1,8-5-1,PANAMA,CHEPO,CHEPO (CABECERA)
l10n_pa_edi_location_8_5_2,8-5-2,PANAMA,CHEPO,CAÑITA
l10n_pa_edi_location_8_5_3,8-5-3,PANAMA,CHEPO,CHEPILLO
l10n_pa_edi_location_8_5_4,8-5-4,PANAMA,CHEPO,EL LLANO
l10n_pa_edi_location_8_5_5,8-5-5,PANAMA,CHEPO,LAS MARGARITAS
l10n_pa_edi_location_8_5_6,8-5-6,PANAMA,CHEPO,SANTA CRUZ DE CHININA
l10n_pa_edi_location_8_5_7,8-5-7,PANAMA,CHEPO,COMARCA KUNA DE MADUNGANDI
l10n_pa_edi_location_8_5_8,8-5-8,PANAMA,CHEPO,TORTI
l10n_pa_edi_location_8_6_1,8-6-1,PANAMA,CHIMAN,CHIMAN (CABECERA)
l10n_pa_edi_location_8_6_2,8-6-2,PANAMA,CHIMAN,BRUJAS
l10n_pa_edi_location_8_6_3,8-6-3,PANAMA,CHIMAN,GONZALO VASQUEZ
l10n_pa_edi_location_8_6_4,8-6-4,PANAMA,CHIMAN,PASIGA
l10n_pa_edi_location_8_6_5,8-6-5,PANAMA,CHIMAN,UNION SANTEÑA
l10n_pa_edi_location_8_8_1,8-8-1,PANAMA,PANAMA,SAN FELIPE
l10n_pa_edi_location_8_8_2,8-8-2,PANAMA,PANAMA,EL CHORRILLO
l10n_pa_edi_location_8_8_3,8-8-3,PANAMA,PANAMA,SANTA ANA
l10n_pa_edi_location_8_8_4,8-8-4,PANAMA,PANAMA,LA EXPOSICION O CALIDONIA
l10n_pa_edi_location_8_8_5,8-8-5,PANAMA,PANAMA,CURUNDU
l10n_pa_edi_location_8_8_6,8-8-6,PANAMA,PANAMA,BETANIA
l10n_pa_edi_location_8_8_7,8-8-7,PANAMA,PANAMA,BELLA VISTA
l10n_pa_edi_location_8_8_8,8-8-8,PANAMA,PANAMA,PUEBLO NUEVO
l10n_pa_edi_location_8_8_9,8-8-9,PANAMA,PANAMA,SAN FRANCISCO
l10n_pa_edi_location_8_8_10,8-8-10,PANAMA,PANAMA,PARQUE LEFEVRE
l10n_pa_edi_location_8_8_11,8-8-11,PANAMA,PANAMA,RIO ABAJO
l10n_pa_edi_location_8_8_12,8-8-12,PANAMA,PANAMA,JUAN DIAZ
l10n_pa_edi_location_8_8_13,8-8-13,PANAMA,PANAMA,PEDREGAL
l10n_pa_edi_location_8_8_14,8-8-14,PANAMA,PANAMA,ANCON
l10n_pa_edi_location_8_8_15,8-8-15,PANAMA,PANAMA,CHILIBRE
l10n_pa_edi_location_8_8_16,8-8-16,PANAMA,PANAMA,LAS CUMBRES
l10n_pa_edi_location_8_8_17,8-8-17,PANAMA,PANAMA,PACORA
l10n_pa_edi_location_8_8_18,8-8-18,PANAMA,PANAMA,SAN MARTIN
l10n_pa_edi_location_8_8_19,8-8-19,PANAMA,PANAMA,TOCUMEN
l10n_pa_edi_location_8_8_20,8-8-20,PANAMA,PANAMA,LAS MAQANITAS
l10n_pa_edi_location_8_8_21,8-8-21,PANAMA,PANAMA,24 DE DICIEMBRE
l10n_pa_edi_location_8_8_22,8-8-22,PANAMA,PANAMA,ERNESTO CORDOBA CAMPOS
l10n_pa_edi_location_8_8_23,8-8-23,PANAMA,PANAMA,ALCALDE DIAZ
l10n_pa_edi_location_8_8_24,8-8-24,PANAMA,PANAMA,CAIMITILLO
l10n_pa_edi_location_8_8_25,8-8-25,PANAMA,PANAMA,DON BOSCO
l10n_pa_edi_location_8_8_26,8-8-26,PANAMA,PANAMA,LAS GARZAS
l10n_pa_edi_location_8_10_1,8-10-1,PANAMA,SAN MIGUELITO,AMELIA DENIS DE ICAZA
l10n_pa_edi_location_8_10_2,8-10-2,PANAMA,SAN MIGUELITO,BELISARIO PORRAS
l10n_pa_edi_location_8_10_3,8-10-3,PANAMA,SAN MIGUELITO,JOSE DOMINGO ESPINAR
l10n_pa_edi_location_8_10_4,8-10-4,PANAMA,SAN MIGUELITO,MATEO ITURRALDE
l10n_pa_edi_location_8_10_5,8-10-5,PANAMA,SAN MIGUELITO,VICTORIANO LORENZO
l10n_pa_edi_location_8_10_6,8-10-6,PANAMA,SAN MIGUELITO,ARNULFO ARIAS
l10n_pa_edi_location_8_10_7,8-10-7,PANAMA,SAN MIGUELITO,BELISARIO FRIAS
l10n_pa_edi_location_8_10_8,8-10-8,PANAMA,SAN MIGUELITO,OMAR TORRIJOS
l10n_pa_edi_location_8_10_9,8-10-9,PANAMA,SAN MIGUELITO,RUFINA ALFARO
l10n_pa_edi_location_8_11_1,8-11-1,PANAMA,TABOGA,TABOGA (CABECERA)
l10n_pa_edi_location_8_11_2,8-11-2,PANAMA,TABOGA,OTOQUE ORIENTE
l10n_pa_edi_location_8_11_3,8-11-3,PANAMA,TABOGA,OTOQUE OCCIDENTE
l10n_pa_edi_location_9_1_1,9-1-1,VERAGUAS,ATALAYA,ATALAYA (CABECERA)
l10n_pa_edi_location_9_1_2,9-1-2,VERAGUAS,ATALAYA,EL BARRITO
l10n_pa_edi_location_9_1_3,9-1-3,VERAGUAS,ATALAYA,LA MONTAÑUELA
l10n_pa_edi_location_9_1_4,9-1-4,VERAGUAS,ATALAYA,LA CARRILLO
l10n_pa_edi_location_9_1_5,9-1-5,VERAGUAS,ATALAYA,SAN ANTONIO
l10n_pa_edi_location_9_2_1,9-2-1,VERAGUAS,CALOBRE,CALOBRE (CABECERA)
l10n_pa_edi_location_9_2_2,9-2-2,VERAGUAS,CALOBRE,BARNIZAL
l10n_pa_edi_location_9_2_3,9-2-3,VERAGUAS,CALOBRE,CHITRA
l10n_pa_edi_location_9_2_4,9-2-4,VERAGUAS,CALOBRE,EL COCLA
l10n_pa_edi_location_9_2_5,9-2-5,VERAGUAS,CALOBRE,EL POTRERO
l10n_pa_edi_location_9_2_6,9-2-6,VERAGUAS,CALOBRE,LA LAGUNA
l10n_pa_edi_location_9_2_7,9-2-7,VERAGUAS,CALOBRE,LA RAYA DE CALOBRE
l10n_pa_edi_location_9_2_8,9-2-8,VERAGUAS,CALOBRE,LA TETILLA
l10n_pa_edi_location_9_2_9,9-2-9,VERAGUAS,CALOBRE,LA YEGUADA
l10n_pa_edi_location_9_2_10,9-2-10,VERAGUAS,CALOBRE,LAS GUIAS
l10n_pa_edi_location_9_2_11,9-2-11,VERAGUAS,CALOBRE,MONJARAS
l10n_pa_edi_location_9_2_12,9-2-12,VERAGUAS,CALOBRE,SAN JOSE
l10n_pa_edi_location_9_3_1,9-3-1,VERAGUAS,CAÑAZAS,CAÑAZAS (CABECERA)
l10n_pa_edi_location_9_3_2,9-3-2,VERAGUAS,CAÑAZAS,CERRO PLATA
l10n_pa_edi_location_9_3_3,9-3-3,VERAGUAS,CAÑAZAS,EL PICADOR
l10n_pa_edi_location_9_3_4,9-3-4,VERAGUAS,CAÑAZAS,LOS VALLES
l10n_pa_edi_location_9_3_5,9-3-5,VERAGUAS,CAÑAZAS,SAN JOSE
l10n_pa_edi_location_9_3_6,9-3-6,VERAGUAS,CAÑAZAS,SAN MARCELO
l10n_pa_edi_location_9_3_7,9-3-7,VERAGUAS,CAÑAZAS,EL AROMILLO
l10n_pa_edi_location_9_4_1,9-4-1,VERAGUAS,LA MEZA,LA MESA (CABECERA)
l10n_pa_edi_location_9_4_2,9-4-2,VERAGUAS,LA MEZA,BISVALLES
l10n_pa_edi_location_9_4_3,9-4-3,VERAGUAS,LA MEZA,BORO
l10n_pa_edi_location_9_4_4,9-4-4,VERAGUAS,LA MEZA,LLANO GRANDE
l10n_pa_edi_location_9_4_5,9-4-5,VERAGUAS,LA MEZA,SAN BARTOLO
l10n_pa_edi_location_9_4_6,9-4-6,VERAGUAS,LA MEZA,LOS MILAGROS
l10n_pa_edi_location_9_5_1,9-5-1,VERAGUAS,LAS PALMAS,LAS PALMAS (CABECERA)
l10n_pa_edi_location_9_5_2,9-5-2,VERAGUAS,LAS PALMAS,CERRO DE CASA
l10n_pa_edi_location_9_5_3,9-5-3,VERAGUAS,LAS PALMAS,COROZAL
l10n_pa_edi_location_9_5_4,9-5-4,VERAGUAS,LAS PALMAS,EL MARIA
l10n_pa_edi_location_9_5_5,9-5-5,VERAGUAS,LAS PALMAS,EL PRADO
l10n_pa_edi_location_9_5_6,9-5-6,VERAGUAS,LAS PALMAS,EL RINCON
l10n_pa_edi_location_9_5_7,9-5-7,VERAGUAS,LAS PALMAS,LOLA
l10n_pa_edi_location_9_5_8,9-5-8,VERAGUAS,LAS PALMAS,PIXVAE
l10n_pa_edi_location_9_5_9,9-5-9,VERAGUAS,LAS PALMAS,PUERTO VIDAL
l10n_pa_edi_location_9_5_10,9-5-10,VERAGUAS,LAS PALMAS,SAN MARTIN DE PORRES
l10n_pa_edi_location_9_5_11,9-5-11,VERAGUAS,LAS PALMAS,VIGUI
l10n_pa_edi_location_9_5_12,9-5-12,VERAGUAS,LAS PALMAS,ZAPOTILLO
l10n_pa_edi_location_9_6_1,9-6-1,VERAGUAS,MONTIJO,MONTIJO (CABECERA)
l10n_pa_edi_location_9_6_2,9-6-2,VERAGUAS,MONTIJO,ARENAS
l10n_pa_edi_location_9_6_3,9-6-3,VERAGUAS,MONTIJO,GOBERNADORA
l10n_pa_edi_location_9_6_4,9-6-4,VERAGUAS,MONTIJO,LA GARCEANA
l10n_pa_edi_location_9_6_5,9-6-5,VERAGUAS,MONTIJO,LEONES
l10n_pa_edi_location_9_6_6,9-6-6,VERAGUAS,MONTIJO,CEBACO
l10n_pa_edi_location_9_6_7,9-6-7,VERAGUAS,MONTIJO,COSTA HERMOSA
l10n_pa_edi_location_9_6_8,9-6-8,VERAGUAS,MONTIJO,UNION DEL NORTE
l10n_pa_edi_location_9_6_9,9-6-9,VERAGUAS,MONTIJO,TEBARIO
l10n_pa_edi_location_9_6_10,9-6-10,VERAGUAS,MONTIJO,EL PILON
l10n_pa_edi_location_9_7_1,9-7-1,VERAGUAS,RIO DE JESUS,RIO DE JESUS (CABECERA)
l10n_pa_edi_location_9_7_2,9-7-2,VERAGUAS,RIO DE JESUS,LAS HUACAS
l10n_pa_edi_location_9_7_3,9-7-3,VERAGUAS,RIO DE JESUS,LOS CASTILLOS
l10n_pa_edi_location_9_7_4,9-7-4,VERAGUAS,RIO DE JESUS,UTIRA
l10n_pa_edi_location_9_7_5,9-7-5,VERAGUAS,RIO DE JESUS,CATORCE DE NOVIEMBRE
l10n_pa_edi_location_9_8_1,9-8-1,VERAGUAS,SAN FRANCISCO,SAN FRANCISCO (CABECERA)
l10n_pa_edi_location_9_8_2,9-8-2,VERAGUAS,SAN FRANCISCO,CORRAL FALSO
l10n_pa_edi_location_9_8_3,9-8-3,VERAGUAS,SAN FRANCISCO,LOS HATILLOS
l10n_pa_edi_location_9_8_4,9-8-4,VERAGUAS,SAN FRANCISCO,REMANCE
l10n_pa_edi_location_9_8_5,9-8-5,VERAGUAS,SAN FRANCISCO,SAN JUAN
l10n_pa_edi_location_9_8_6,9-8-6,VERAGUAS,SAN FRANCISCO,SAN JOSE
l10n_pa_edi_location_9_9_1,9-9-1,VERAGUAS,SANTA FE,SANTA FE (CABECERA)
l10n_pa_edi_location_9_9_2,9-9-2,VERAGUAS,SANTA FE,CALOVEBORA
l10n_pa_edi_location_9_9_3,9-9-3,VERAGUAS,SANTA FE,EL ALTO
l10n_pa_edi_location_9_9_4,9-9-4,VERAGUAS,SANTA FE,EL CUAY
l10n_pa_edi_location_9_9_5,9-9-5,VERAGUAS,SANTA FE,EL PANTANO
l10n_pa_edi_location_9_9_6,9-9-6,VERAGUAS,SANTA FE,GATU O GATUCITO
l10n_pa_edi_location_9_9_7,9-9-7,VERAGUAS,SANTA FE,RIO LUIS
l10n_pa_edi_location_9_10_1,9-10-1,VERAGUAS,SANTIAGO,SANTIAGO (CABECERA)
l10n_pa_edi_location_9_10_2,9-10-2,VERAGUAS,SANTIAGO,LA COLORADA
l10n_pa_edi_location_9_10_3,9-10-3,VERAGUAS,SANTIAGO,LA PEÑA
l10n_pa_edi_location_9_10_4,9-10-4,VERAGUAS,SANTIAGO,LA RAYA DE SANTA MARIA
l10n_pa_edi_location_9_10_5,9-10-5,VERAGUAS,SANTIAGO,PONUGA
l10n_pa_edi_location_9_10_6,9-10-6,VERAGUAS,SANTIAGO,SAN PEDRO DEL ESPINO
l10n_pa_edi_location_9_10_7,9-10-7,VERAGUAS,SANTIAGO,CANTO DEL LLANO
l10n_pa_edi_location_9_10_8,9-10-8,VERAGUAS,SANTIAGO,LOS ALGARROBOS
l10n_pa_edi_location_9_10_9,9-10-9,VERAGUAS,SANTIAGO,CARLOS SANTANA AVILA
l10n_pa_edi_location_9_10_10,9-10-10,VERAGUAS,SANTIAGO,EDWIN FABREGA
l10n_pa_edi_location_9_10_11,9-10-11,VERAGUAS,SANTIAGO,SAN MARTIN DE PORRES
l10n_pa_edi_location_9_10_12,9-10-12,VERAGUAS,SANTIAGO,URRACA
l10n_pa_edi_location_9_11_1,9-11-1,VERAGUAS,SONA,SONA (CABECERA)
l10n_pa_edi_location_9_11_2,9-11-2,VERAGUAS,SONA,BAHIA HONDA
l10n_pa_edi_location_9_11_3,9-11-3,VERAGUAS,SONA,CALIDONIA
l10n_pa_edi_location_9_11_4,9-11-4,VERAGUAS,SONA,CATIVE
l10n_pa_edi_location_9_11_5,9-11-5,VERAGUAS,SONA,EL MARAÑON
l10n_pa_edi_location_9_11_6,9-11-6,VERAGUAS,SONA,GUARUMAL
l10n_pa_edi_location_9_11_7,9-11-7,VERAGUAS,SONA,LA SOLEDAD
l10n_pa_edi_location_9_11_8,9-11-8,VERAGUAS,SONA,QUEBRADA DE ORO
l10n_pa_edi_location_9_11_9,9-11-9,VERAGUAS,SONA,RIO GRANDE
l10n_pa_edi_location_9_11_10,9-11-10,VERAGUAS,SONA,RODEO VIEJO
l10n_pa_edi_location_9_12_1,9-12-1,VERAGUAS,MARIATO,LLANO DE CATIVAL O MARIATO (CABECERA)
l10n_pa_edi_location_9_12_2,9-12-2,VERAGUAS,MARIATO,ARENAS
l10n_pa_edi_location_9_12_3,9-12-3,VERAGUAS,MARIATO,EL CACAO
l10n_pa_edi_location_9_12_4,9-12-4,VERAGUAS,MARIATO,QUEBRO
l10n_pa_edi_location_9_12_5,9-12-5,VERAGUAS,MARIATO,TEBARIO
l10n_pa_edi_location_10_1_1,10-1-1,COMARCA KUNA YALA,COMARCA KUNA YALA,NARGANA (CABECERA)
l10n_pa_edi_location_10_1_2,10-1-2,COMARCA KUNA YALA,COMARCA KUNA YALA,AILIGANDI
l10n_pa_edi_location_10_1_3,10-1-3,COMARCA KUNA YALA,COMARCA KUNA YALA,PUERTO OBALDIA
l10n_pa_edi_location_10_1_4,10-1-4,COMARCA KUNA YALA,COMARCA KUNA YALA,TUBUALA
l10n_pa_edi_location_11_1_1,11-1-1,COMARCA EMBERA-WOUNAAN,CEMACO,CIRILO GUAINORA (CABECERA)
l10n_pa_edi_location_11_1_2,11-1-2,COMARCA EMBERA-WOUNAAN,CEMACO,LAJAS BLANCAS
l10n_pa_edi_location_11_1_3,11-1-3,COMARCA EMBERA-WOUNAAN,CEMACO,MANUEL ORTEGA
l10n_pa_edi_location_11_2_1,11-2-1,COMARCA EMBERA-WOUNAAN,SAMBU,RIO SABALO
l10n_pa_edi_location_11_2_2,11-2-2,COMARCA EMBERA-WOUNAAN,SAMBU,JINGURUDO
l10n_pa_edi_location_12_1_1,12-1-1,COMARCA NGÄBE-BUGLÉ,BESIKO,SOLOY (CABECERA)
l10n_pa_edi_location_12_1_2,12-1-2,COMARCA NGÄBE-BUGLÉ,BESIKO,BOCA DE BALSA
l10n_pa_edi_location_12_1_3,12-1-3,COMARCA NGÄBE-BUGLÉ,BESIKO,CAMARON ARRIBA
l10n_pa_edi_location_12_1_4,12-1-4,COMARCA NGÄBE-BUGLÉ,BESIKO,CERRO BANCO
l10n_pa_edi_location_12_1_5,12-1-5,COMARCA NGÄBE-BUGLÉ,BESIKO,CERRO DE PATENA
l10n_pa_edi_location_12_1_6,12-1-6,COMARCA NGÄBE-BUGLÉ,BESIKO,EMPLANADA DE CHORCHA
l10n_pa_edi_location_12_1_7,12-1-7,COMARCA NGÄBE-BUGLÉ,BESIKO,NAMNONI
l10n_pa_edi_location_12_1_8,12-1-8,COMARCA NGÄBE-BUGLÉ,BESIKO,NIBA
l10n_pa_edi_location_12_2_1,12-2-1,COMARCA NGÄBE-BUGLÉ,MIRONO,HATO PILON (CABECERA)
l10n_pa_edi_location_12_2_2,12-2-2,COMARCA NGÄBE-BUGLÉ,MIRONO,CASCABEL
l10n_pa_edi_location_12_2_3,12-2-3,COMARCA NGÄBE-BUGLÉ,MIRONO,HATO COROTU
l10n_pa_edi_location_12_2_4,12-2-4,COMARCA NGÄBE-BUGLÉ,MIRONO,HATO CULANTRO
l10n_pa_edi_location_12_2_5,12-2-5,COMARCA NGÄBE-BUGLÉ,MIRONO,HATO JOBO
l10n_pa_edi_location_12_2_6,12-2-6,COMARCA NGÄBE-BUGLÉ,MIRONO,HATO JULI
l10n_pa_edi_location_12_2_7,12-2-7,COMARCA NGÄBE-BUGLÉ,MIRONO,QUEBRADA DE LORO
l10n_pa_edi_location_12_2_8,12-2-8,COMARCA NGÄBE-BUGLÉ,MIRONO,SALTO DUPI
l10n_pa_edi_location_12_3_1,12-3-1,COMARCA NGÄBE-BUGLÉ,MUNA,CHICHICA (CABECERA)
l10n_pa_edi_location_12_3_2,12-3-2,COMARCA NGÄBE-BUGLÉ,MUNA,ALTO CABALLERO
l10n_pa_edi_location_12_3_3,12-3-3,COMARCA NGÄBE-BUGLÉ,MUNA,BAKAMA
l10n_pa_edi_location_12_3_4,12-3-4,COMARCA NGÄBE-BUGLÉ,MUNA,CERRO CAÑA
l10n_pa_edi_location_12_3_5,12-3-5,COMARCA NGÄBE-BUGLÉ,MUNA,CERRO PUERCO
l10n_pa_edi_location_12_3_6,12-3-6,COMARCA NGÄBE-BUGLÉ,MUNA,KRUA
l10n_pa_edi_location_12_3_7,12-3-7,COMARCA NGÄBE-BUGLÉ,MUNA,MARACA
l10n_pa_edi_location_12_3_8,12-3-8,COMARCA NGÄBE-BUGLÉ,MUNA,NIBRA
l10n_pa_edi_location_12_3_9,12-3-9,COMARCA NGÄBE-BUGLÉ,MUNA,PEÑA BLANCA
l10n_pa_edi_location_12_3_10,12-3-10,COMARCA NGÄBE-BUGLÉ,MUNA,ROKA
l10n_pa_edi_location_12_3_11,12-3-11,COMARCA NGÄBE-BUGLÉ,MUNA,SITIO PRADO
l10n_pa_edi_location_12_3_12,12-3-12,COMARCA NGÄBE-BUGLÉ,MUNA,UMANI
l10n_pa_edi_location_12_4_1,12-4-1,COMARCA NGÄBE-BUGLÉ,NOLE DUIMA,CERRO IGLESIAS (CABECERA)
l10n_pa_edi_location_12_4_2,12-4-2,COMARCA NGÄBE-BUGLÉ,NOLE DUIMA,HATO CHAMI
l10n_pa_edi_location_12_4_3,12-4-3,COMARCA NGÄBE-BUGLÉ,NOLE DUIMA,JADEBERI
l10n_pa_edi_location_12_4_4,12-4-4,COMARCA NGÄBE-BUGLÉ,NOLE DUIMA,LAJERO
l10n_pa_edi_location_12_4_5,12-4-5,COMARCA NGÄBE-BUGLÉ,NOLE DUIMA,SUSAMA
l10n_pa_edi_location_12_5_1,12-5-1,COMARCA NGÄBE-BUGLÉ,NURUM,BUENOS AIRES (CABECERA)
l10n_pa_edi_location_12_5_2,12-5-2,COMARCA NGÄBE-BUGLÉ,NURUM,AGUA DE SALUD
l10n_pa_edi_location_12_5_3,12-5-3,COMARCA NGÄBE-BUGLÉ,NURUM,ALTO DE JESUS
l10n_pa_edi_location_12_5_4,12-5-4,COMARCA NGÄBE-BUGLÉ,NURUM,CERRO PELADO
l10n_pa_edi_location_12_5_5,12-5-5,COMARCA NGÄBE-BUGLÉ,NURUM,EL BALE
l10n_pa_edi_location_12_5_6,12-5-6,COMARCA NGÄBE-BUGLÉ,NURUM,EL PAREDON
l10n_pa_edi_location_12_5_7,12-5-7,COMARCA NGÄBE-BUGLÉ,NURUM,EL PIRO
l10n_pa_edi_location_12_5_8,12-5-8,COMARCA NGÄBE-BUGLÉ,NURUM,GUAYABITO
l10n_pa_edi_location_12_5_9,12-5-9,COMARCA NGÄBE-BUGLÉ,NURUM,GUIBALE
l10n_pa_edi_location_12_6_1,12-6-1,COMARCA NGÄBE-BUGLÉ,KANKINTU,BISIRA (CABECERA)
l10n_pa_edi_location_12_6_2,12-6-2,COMARCA NGÄBE-BUGLÉ,KANKINTU,BURI
l10n_pa_edi_location_12_6_3,12-6-3,COMARCA NGÄBE-BUGLÉ,KANKINTU,GUARIVIARA
l10n_pa_edi_location_12_6_4,12-6-4,COMARCA NGÄBE-BUGLÉ,KANKINTU,GUORONI
l10n_pa_edi_location_12_6_5,12-6-5,COMARCA NGÄBE-BUGLÉ,KANKINTU,KANKINTU
l10n_pa_edi_location_12_6_6,12-6-6,COMARCA NGÄBE-BUGLÉ,KANKINTU,MUNUNI
l10n_pa_edi_location_12_6_7,12-6-7,COMARCA NGÄBE-BUGLÉ,KANKINTU,PIEDRA ROJA
l10n_pa_edi_location_12_6_8,12-6-8,COMARCA NGÄBE-BUGLÉ,KANKINTU,TUWAI
l10n_pa_edi_location_12_6_9,12-6-9,COMARCA NGÄBE-BUGLÉ,KANKINTU,MAN CREEK
l10n_pa_edi_location_12_7_1,12-7-1,COMARCA NGÄBE-BUGLÉ,KUSAPIN,KUSAPIN (CABECERA)
l10n_pa_edi_location_12_7_2,12-7-2,COMARCA NGÄBE-BUGLÉ,KUSAPIN,BAHIA AZUL
