"id","name","auto_apply","country_id","sequence","note","name@es","note@es"
"fp_pa_contribuyente","Contribuyente Inscrito (ITBMS)","True","base.pa",10,"Operaciones gravadas con ITBMS para contribuyentes inscritos en DGI.","Contribuyente Inscrito (ITBMS)","Operaciones gravadas con ITBMS para contribuyentes inscritos en DGI."
"fp_pa_consumo_final","Consumo Final","True","base.pa",20,"Persona natural sin RUC; operaciones gravadas con ITBMS al consumidor final.","Consumo Final","Persona natural sin RUC; operaciones gravadas con ITBMS al consumidor final."
"fp_pa_zona_libre","Zona Libre / Zonas Económicas Especiales","True","base.pa",30,"Operaciones realizadas dentro o con clientes de Zona Libre de Colón u otras zonas económicas especiales.","Zona Libre / Zonas Económicas Especiales","Operaciones realizadas dentro o con clientes de Zona Libre de Colón u otras zonas económicas especiales."
"fp_pa_exento","Exento de ITBMS","True","base.pa",40,"Operaciones específicamente exentas por la Ley (Art. 1057-V CF).","Exento de ITBMS","Operaciones específicamente exentas por la Ley (Art. 1057-V CF)."
"fp_pa_gobierno","Gobierno / Sector Público","True","base.pa",50,"Operaciones con entidades del Estado panameño (B2G).","Gobierno / Sector Público","Operaciones con entidades del Estado panameño (B2G)."
"fp_pa_extranjero","Extranjero / Exportación","True","",60,"Operaciones con clientes o proveedores fuera de Panamá; típicamente exoneradas o de exportación.","Extranjero / Exportación","Operaciones con clientes o proveedores fuera de Panamá; típicamente exoneradas o de exportación."
